pond_id,province,regency,weight,days,ADG
12228,,,26.5,34,0.7794117647058824
9603,,,334.0,55,6.072727272727272
16224,,,3724.57,136,27.38654411764706
13378,,,5951.82,136,43.76338235294117
16048,,,1241.74,58,21.409310344827585
16050,,,1538.76,56,27.477857142857143
16051,,,2640.76,57,46.32912280701755
16052,,,1669.42,57,29.288070175438598
16054,,,2177.63,56,38.886250000000004
16055,,,3047.41,57,53.46333333333333
17029,,,1075.96,128,8.4059375
17030,,,900.0,109,8.256880733944953
17031,,,1077.7,109,9.887155963302753
19168,,,611.89,95,6.440947368421052
19171,,,640.9,95,6.746315789473684
19172,,,558.5,85,6.570588235294117
19190,,,432.0,85,5.08235294117647
19198,,,799.5,85,9.405882352941177
19206,,,662.0,85,7.788235294117647
19580,,,2463.24,120,20.526999999999997
19582,,,2134.51,108,19.763981481481483
18397,,,567.0500000000001,53,10.699056603773586
18398,,,475.49,78,6.0960256410256415
19378,,,265.0,71,3.732394366197183
19371,,,124.0,46,2.6956521739130435
20257,,,4312.66,109,39.5656880733945
20322,,,3321.71,110,30.197363636363637
20323,,,1868.61,114,16.391315789473683
16472,,,175.0,44,3.977272727272727
19372,,,356.0,58,6.137931034482759
21219,,,83.0,21,3.9523809523809526
21224,,,112.0,21,5.333333333333333
21227,,,51.0,49,1.0408163265306123
21235,,,163.0,51,3.196078431372549
21240,,,150.0,36,4.166666666666667
21239,,,60.0,44,1.3636363636363635
21238,,,150.0,43,3.488372093023256
21242,,,70.0,45,1.5555555555555556
21221,,,46.0,39,1.1794871794871795
21226,,,120.0,33,3.6363636363636362
21225,,,72.0,68,1.0588235294117647
20888,,,5010.62,138,36.30884057971014
21898,,,200.0,50,4.0
21960,,,3915.38,114,34.34543859649123
21963,,,2950.58,113,26.11132743362832
21965,,,4004.08,114,35.12350877192982
21966,,,3961.3399999999997,115,34.44643478260869
21970,,,3752.9700000000003,114,32.92078947368421
21234,,,110.0,54,2.037037037037037
19378,,,172.0,71,2.4225352112676055
21217,,,50.0,53,0.9433962264150944
21241,,,92.0,47,1.9574468085106382
21221,,,153.5,50,3.07
22914,,,1670.18,69,24.20550724637681
20894,,,350.0,56,6.25
21238,,,86.0,37,2.324324324324324
21235,,,85.0,47,1.8085106382978724
21899,,,820.0,61,13.442622950819672
19381,,,102.0,66,1.5454545454545454
23667,,,137.0,57,2.4035087719298245
23708,,,444.0,66,6.7272727272727275
23711,,,440.0,59,7.4576271186440675
23688,,,62.0,46,1.3478260869565217
23678,,,700.0,52,13.461538461538462
23679,,,1372.5,97,14.149484536082474
23695,,,604.3,55,10.987272727272726
23692,,,360.0,49,7.346938775510204
23669,,,1141.0,86,13.267441860465116
23635,,,200.0,54,3.7037037037037037
23670,,,450.96000000000004,100,4.509600000000001
23671,,,467.85,100,4.6785000000000005
23682,,,150.0,78,1.9230769230769231
23698,,,866.0,98,8.83673469387755
23693,,,450.70000000000005,79,5.705063291139241
20889,,,5600.76,137,40.8814598540146
20890,,,5175.9800000000005,138,37.50710144927537
20891,,,5405.53,137,39.456423357664235
21224,,,17.0,58,0.29310344827586204
21218,,,65.0,52,1.25
21234,,,90.0,49,1.836734693877551
21223,,,47.5,47,1.0106382978723405
21226,,,40.0,31,1.2903225806451613
30535,,,220.0,75,2.933333333333333
24013,,,1422.9899999999998,114,12.48236842105263
24014,,,1193.75,90,13.26388888888889
24015,,,1842.22,112,16.448392857142856
24018,,,551.79,90,6.130999999999999
24019,,,213.3,81,2.6333333333333333
24020,,,731.52,88,8.312727272727273
24023,,,800.0,93,8.602150537634408
23715,,,1026.0,90,11.4
24120,,,106.92,53,2.0173584905660378
21239,,,5.0,44,0.11363636363636363
21243,,,264.0,41,6.439024390243903
24195,,,95.0,38,2.5
24332,,,4532.0,110,41.2
23718,,,750.0,101,7.425742574257426
21221,,,109.5,50,2.19
21222,,,90.0,62,1.4516129032258065
21225,,,40.0,63,0.6349206349206349
12521,,,1895.7800000000002,86,22.043953488372097
12522,,,2322.84,86,27.00976744186047
12523,,,1700.56,86,19.773953488372094
12524,,,1026.46,82,12.51780487804878
12526,,,1140.25,82,13.90548780487805
12528,,,1536.21,82,18.734268292682927
12529,,,1241.44,82,15.139512195121952
12530,,,782.68,82,9.544878048780488
12535,,,1139.48,86,13.249767441860465
12686,,,1262.0,73,17.28767123287671
21229,,,100.0,46,2.1739130434782608
21231,,,90.0,46,1.9565217391304348
23692,,,693.0,91,7.615384615384615
21240,,,125.0,58,2.1551724137931036
21238,,,35.0,40,0.875
21227,,,150.0,55,2.727272727272727
21217,,,80.5,46,1.75
21226,,,73.0,40,1.825
23687,,,150.0,72,2.0833333333333335
23695,,,200.0,38,5.2631578947368425
23717,,,225.59,72,3.1331944444444444
23711,,,450.0,69,6.521739130434782
23710,,,212.0,60,3.533333333333333
23703,,,252.0,73,3.452054794520548
21219,,,97.0,44,2.2045454545454546
20894,,,250.0,40,6.25
23667,,,406.0,97,4.185567010309279
25354,,,437.7,82,5.337804878048781
19378,,,285.0,69,4.130434782608695
25561,,,230.0,93,2.4731182795698925
23670,,,547.6,83,6.597590361445784
23671,,,341.0,83,4.108433734939759
25602,,,782.5,100,7.825
25606,,,850.0,76,11.18421052631579
25607,,,355.0,64,5.546875
25609,,,28.0,35,0.8
21234,,,100.0,53,1.8867924528301887
23697,,,292.0,88,3.3181818181818183
25683,,,50.0,26,1.9230769230769231
25603,,,250.0,48,5.208333333333333
23700,,,200.0,62,3.225806451612903
21239,,,90.0,59,1.5254237288135593
21238,,,100.0,60,1.6666666666666667
21221,,,263.0,53,4.962264150943396
23678,,,352.0,58,6.068965517241379
24509,,,1509.13,115,13.122869565217393
19371,,,200.0,52,3.8461538461538463
23631,,,1320.6,82,16.10487804878049
19373,,,170.0,59,2.8813559322033897
24021,,,577.54,67,8.62
24014,,,334.0,72,4.638888888888889
23708,,,96.0,57,1.6842105263157894
19372,,,815.0,85,9.588235294117647
24018,,,213.0,80,2.6625
23707,,,165.0,69,2.391304347826087
24272,,,220.0,62,3.5483870967741935
24195,,,430.0,65,6.615384615384615
21230,,,60.0,54,1.1111111111111112
21231,,,56.0,45,1.2444444444444445
21225,,,57.0,45,1.2666666666666666
21240,,,350.0,69,5.072463768115942
21223,,,89.0,78,1.141025641025641
21217,,,100.0,52,1.9230769230769231
21219,,,290.0,71,4.084507042253521
12667,,,3637.1000000000004,88,41.33068181818182
12671,,,3323.04,88,37.76181818181818
12673,,,8344.99,88,94.82943181818182
12674,,,4562.22,88,51.84340909090909
12675,,,2834.05,84,33.73869047619048
21899,,,1583.0,89,17.786516853932586
23714,,,259.0,58,4.4655172413793105
20104,,,1540.0,76,20.263157894736842
20102,,,1628.65,76,21.429605263157896
20108,,,1164.9,76,15.32763157894737
25605,,,50.0,22,2.272727272727273
24120,,,110.4,57,1.936842105263158
24019,,,156.9,57,2.7526315789473683
24311,,,276.36,56,4.9350000000000005
24015,,,563.94,56,10.070357142857144
20894,,,495.0,51,9.705882352941176
21222,,,301.5,68,4.4338235294117645
19170,,,377.3,51,7.398039215686275
19172,,,1757.85,51,34.46764705882353
18798,,,418.28,97,4.312164948453608
19190,,,414.55,100,4.1455
19194,,,379.58,100,3.7958
19198,,,367.7,100,3.677
19201,,,390.09000000000003,100,3.9009000000000005
19203,,,426.68,100,4.2668
25609,,,122.0,38,3.210526315789474
24005,,,306.0,66,4.636363636363637
24265,,,480.0,64,7.5
